language,repo,path,func_name,original_code,original_comment,code_token_length
php,symfony/symfony,src/Symfony/Component/Serializer/Normalizer/DateIntervalNormalizer.php,DateIntervalNormalizer.normalize,"public function normalize($object, $format = null, array $context = [])
    {
        if (!$object instanceof \DateInterval) {
            throw new InvalidArgumentException('The object must be an instance of ""\DateInterval"".');
        }

        return $object->format($context[self::FORMAT_KEY] ?? $this->defaultContext[self::FORMAT_KEY]);
    }","{@inheritdoc}

@throws InvalidArgumentException",64
php,rosasurfer/ministruts,src/ministruts/ActionMapping.php,ActionMapping.setMethod,"public function setMethod($method) {
        if ($this->configured) throw new IllegalStateException('Configuration is frozen');
        $name = $this->name ? ' name=""'.$this->name.'""':'';
        $path = $this->path ? ' path=""'.$this->path.'""':'';

        $method = strtoupper($method);
        if ($method!='GET' && $method!='POST') throw new StrutsConfigException('<mapping'.$name.''.$path.' methods=""'.func_get_arg(0).'"":  Invalid HTTP method.');

        $this->methods[$method] = true;
        return $this;
    }","Set the HTTP methods the mapping will be able to handle.

@param  string $method - HTTP method verb

@return $this

@throws StrutsConfigException on configuration errors",121
php,oat-sa/qti-sdk,src/qtism/common/datatypes/files/FileSystemFileManager.php,FileSystemFileManager.retrieve,"public function retrieve($identifier)
    {
        try {
            return FileSystemFile::retrieveFile($identifier);
        } catch (RuntimeException $e) {
            $msg = ""An error occured while retrieving a QTI FileSystemFile object."";
            throw new FileManagerException($msg, 0, $e);
        }
    }","Retrieve a FileSystemFile object from its unique identifier.

@param string identifier
@throws \qtism\common\datatypes\files\FileManagerException
@return \qtism\common\datatypes\files\FileSystemFile",47
php,movoin/one-swoole,src/FileSystem/FileSystem.php,FileSystem.updateStream,"public function updateStream(string $path, $resource, array $config = []): bool
    {
        $path = $this->normalizePath($path);
        $this->assertPresent($path);
        $config = $this->prepareConfig($config);
        $this->rewindStream($resource);

        return $this->getAdapter()->updateStream($path, $resource, $config);
    }","从 Stream 更新文件

@param  string   $path
@param  resource $resource
@param  array    $config

@return bool
@throws \One\FileSystem\Exceptions\FileSystemException
@throws \One\FileSystem\Exceptions\FileNotExistsException",84
php,lasallecms/lasallecms-l5-mailgun-pkg,src/Processing/MapMailgunPostVariables.php,MapMailgunPostVariables.mapInboundPostVarsToEmail_messagesFields,"public function mapInboundPostVarsToEmail_messagesFields() {

        $data = [];

        $data['user_id']            = $this->getUserIdByMappedEmailAddress();

        $data['from_email_address'] = trim($this->request->input('sender'));
        $data['from_name']          = $this->genericWashText($this->request ->input('from'));
        $data['to_email_address']   = $this->setToEmailAddressField();
        $data['to_name']            = $this->setToField();
        $data['subject']            = $this->genericWashText($this->request->input('subject'));
        $data['body']               = $this->setBodyField();
        $data['message_header']     = json_decode($this->request->input('message-headers'));
        $data['recipient']          = $this->request->input('recipient');

        return $data;
    }","Map the non-attachment vars from the inbound email webhook to the email_messages fields

@return array",167
php,moodle/moodle,grade/report/history/classes/output/tablelog.php,tablelog.col_finalgrade,"public function col_finalgrade(\stdClass $history) {
        if (!empty($this->gradeitems[$history->itemid])) {
            $decimalpoints = $this->gradeitems[$history->itemid]->get_decimals();
        } else {
            $decimalpoints = $this->defaultdecimalpoints;
        }

        return format_float($history->finalgrade, $decimalpoints);
    }","Method to display the final grade.

@param \stdClass $history an entry of history record.

@return string HTML to display",71
php,gggeek/ggwebservices,classes/ggwebservicesjscfunctions.php,ggwebservicesJSCFunctions.listMethods,"static function listMethods( )
    {
        $methods = array();
        $ini = eZINI::Instance( 'ezjscore.ini' );
        foreach( $ini->groups() as $blockname => $data )
        {
            if ( strpos( $blockname, 'ezjscServer_' ) === 0 )
            {
                $classname = substr( $blockname, 12 );

                // replicate same logic as ezjscore
                if ( $ini->hasVariable( $blockname, 'TemplateFunction' ) )
                {
                    // unluckily any function name is accepted here
                    $methods[] = ""$classname::*"";
                }
                else
                {
                    // load file if defined, else use autoload (same as ezjsc does)
                    if ( $ini->hasVariable( $blockname, 'File' ) )
                        include_once( $ini->variable( $blockname, 'File' ) );
                    // get class name if defined, else use first argument as class name
                    if ( $ini->hasVariable( $blockname, 'Class' ) )
                        $realclassname = $ini->variable( $blockname, 'Class' );
                    else
                        $realclassname = $classname;

                    if ( class_exists( $realclassname ) )
                    {
                        $reflectionClass = new ReflectionClass( $realclassname );
                        foreach( $reflectionClass->getMethods() as $reflectionMethod )
                        {
                            if ( $reflectionMethod->isStatic() )
                            {
                                $methods[] = ""$classname::"" . $reflectionMethod->name;
                            }
                        }
                    }
                    else
                    {
                        /// @todo log config error
                    }
                }
            }
        }
        return $methods;
    }","Returns the list of all webservices available on this server
@return array",221
php,moodle/moodle,lib/adodb/drivers/adodb-oracle.inc.php,ADODB_oracle.DBTimeStamp,"function DBTimeStamp($ts, $isfld = false)
	{

		if (is_string($ts)) $ts = ADORecordSet::UnixTimeStamp($ts);
		if (is_object($ts)) $ds = $ts->format($this->fmtDate);
		else $ds = adodb_date($this->fmtTimeStamp,$ts);
		return 'TO_DATE('.$ds."",'RRRR-MM-DD, HH:MI:SS AM')"";
	}",format and return date string in database timestamp format,77
php,milejko/mmi,src/Mmi/Http/ResponseDebugger/Part.php,Part.getEnvHtml,"public static function getEnvHtml()
    {
        $env = \Mmi\App\FrontController::getInstance()->getEnvironment();
        return '<p style=""margin: 0; padding: 0;"">Connection: <b>' . $env->serverAddress . ':' . $env->serverPort . '</b> <---> <b>' . $env->remoteAddress . ':' . $env->remotePort . '</b></p>' .
            '<p style=""margin: 0; padding: 0;"">Browser: <b>' . substr($env->httpUserAgent, 0, 93) . '</b></p>' .
            '<p style=""margin: 0; padding: 0;"">PHP: <b>' . phpversion() . ' (' . php_sapi_name() . ', ' . php_uname('s') . ' ' . php_uname('m') . ': ' . php_uname('n') . ')</b></p>' .
            '<p style=""margin: 0; padding: 0;"">Path: <b>' . $env->scriptFileName . '</b></p>';
    }","Zmienne środowiskowe
@return string",117
php,wslim/wslimphp,src/Web/FormHelper.php,FormHelper.image,"static public function image($name, $value=null, $settings=[])
    {
        $settings['media_type'] = 'image';
        $settings['with_input'] = isset($settings['with_input']) ? $settings['with_input'] : 'hidden';
        if (!isset($settings['readonly'])) $settings['readonly'] = ""readonly"";
        if (!isset($settings['modal_url'])) $settings['modal_url'] = Ioc::url('common/file/select');
        if (!isset($settings['preview_url'])) $settings['preview_url'] = Ioc::url('preview?media_type=image');
        return static::select($name, $value, $settings);
    }","上传资源的表单html，依赖配置js：使用 require.js,util.js，或页面直接加载util.js
@param  string $name
@param  string $value
@param  array  $settings [modal_url, preview_url, readonly]
@return string",137
