language,repo,path,func_name,original_code,original_comment,code_token_length
go,aporeto-inc/trireme-lib,controller/pkg/urisearch/urisearch.go,FindRule,"func (c *APICache) FindRule(verb, uri string) (bool, *policy.HTTPRule) {
	found, rule := c.Find(verb, uri)
	if rule == nil {
		return found, nil
	}
	if policyRule, ok := rule.(*scopeRule); ok {
		return found, policyRule.rule
	}
	return false, nil
}",// FindRule finds a rule in the APICache without validating scopes,76
go,gosuri/uilive,writer.go,Listen,"func (w *Writer) Listen() {
	for {
		select {
		case <-w.ticker.C:
			if w.ticker != nil {
				w.Flush()
			}
		case <-w.tdone:
			w.mtx.Lock()
			w.ticker.Stop()
			w.ticker = nil
			w.mtx.Unlock()
			return
		}
	}
}",// Listen listens for updates to the writer's buffer and flushes to the out provided. It blocks the runtime.,80
go,hyperledger/fabric-sdk-go,pkg/fab/mocks/mockdata.go,CreateBlockWithCCEvent,"func CreateBlockWithCCEvent(events *pp.ChaincodeEvent, txID string,
	channelID string) (*common.Block, error) {
	return CreateBlockWithCCEventAndTxStatus(events, txID, channelID, pp.TxValidationCode_VALID)
}",// CreateBlockWithCCEvent creates a mock block,39
go,minio/minio,cmd/posix-errors.go,isSysErrNoSpace,"func isSysErrNoSpace(err error) bool {
	if err == syscall.ENOSPC {
		return true
	}
	pathErr, ok := err.(*os.PathError)
	return ok && pathErr.Err == syscall.ENOSPC
}",// No space left on device error,45
go,dave/jennifer,jen/lit.go,LitByteFunc,"func (g *Group) LitByteFunc(f func() byte) *Statement {
	s := LitByteFunc(f)
	g.items = append(g.items, s)
	return s
}","// LitByteFunc renders a byte literal. LitByteFunc generates the value to
// render by executing the provided function.",41
go,pivotal-pez/pezauth,service/email.go,NewEmailServer,"func NewEmailServer(host string, port int, auth smtp.Auth, sendMailFunc SendMailFunc) *EmailServer {
	return &EmailServer{
		host:         host,
		port:         port,
		auth:         auth,
		sendMailFunc: sendMailFunc,
	}
}",//NewEmailServer - Create an email server,43
go,uniplaces/carbon,carboninterval.go,NewCarbonInterval,"func NewCarbonInterval(start, end *Carbon) (*CarbonInterval, error) {
	if start.Gte(end) {
		return nil, errors.New(""The end date must be greater than the start date."")
	}

	return &CarbonInterval{
		Start: start,
		End: end,
	}, nil
}",// NewCarbonInterval returns a pointer to a new CarbonInterval instance,54
go,gosexy/redis,commands.go,LInsert,"func (c *Client) LInsert(key string, where string, pivot interface{}, value interface{}) (int64, error) {
	var ret int64

	where = strings.ToUpper(where)

	if where != ""AFTER"" && where != ""BEFORE"" {
		return 0, errors.New(`The ""where"" value must be either BEFORE or AFTER.`)
	}

	err := c.command(
		&ret,
		[]byte(""LINSERT""),
		[]byte(key),
		[]byte(where),
		to.Bytes(pivot),
		to.Bytes(value),
	)

	return ret, err
}","/*
Inserts value in the list stored at key either before or after the reference
value pivot.

http://redis.io/commands/linsert
*/",119
go,aws/aws-sdk-go,service/lambda/api.go,SetRevisionId,"func (s *AddLayerVersionPermissionInput) SetRevisionId(v string) *AddLayerVersionPermissionInput {
	s.RevisionId = &v
	return s
}",// SetRevisionId sets the RevisionId field's value.,25
go,aws/aws-sdk-go,service/inspector/api.go,SetAgentId,"func (s *AssessmentRunAgent) SetAgentId(v string) *AssessmentRunAgent {
	s.AgentId = &v
	return s
}",// SetAgentId sets the AgentId field's value.,25
